Unique System Identifier,Call Sign,Overall Height of Structure,Latitude,Longitude
12694,KNKA423,97.5,44.03444444444444,-88.27944444444444
12694,KNKA423,67.1,43.93388888888889,-88.05111111111111
12694,KNKA423,48.8,44.35194444444445,-88.19444444444444
12694,KNKA423,60.6,44.39333333333333,-88.31388888888888
12694,KNKA423,67.1,44.39805555555556,-88.72833333333334
12694,KNKA423,67.1,44.18472222222222,-88.07111111111111
12694,KNKA423,73.1,43.94083333333333,-88.62305555555555
12694,KNKA423,51.8,44.24333333333333,-88.33538888888889
12694,KNKA423,128.0,44.288333333333334,-88.34888888888888
12694,KNKA423,46.7,44.01222222222222,-88.58472222222221
12694,KNKA423,57.9,44.199416666666664,-88.25344444444444
12694,KNKA423,58.5,44.5225,-88.32444444444444
12694,KNKA423,35.0,44.280388888888886,-88.51827777777778
12694,KNKA423,59.4,44.501222222222225,-88.191
12695,KNKA602,93.9,42.61697222222222,-87.87452777777777
12695,KNKA602,33.5,42.61061111111111,-87.82530555555554
12695,KNKA602,27.1,42.52002777777778,-87.94972222222222
12695,KNKA602,59.4,42.56083333333333,-88.04333333333334
12695,KNKA602,37.8,42.53338888888889,-88.07944444444443
12695,KNKA602,31.7,42.52697222222222,-87.85313888888888
12695,KNKA602,80.8,42.527833333333334,-88.26891666666667
12696,KNKN311,95.4,42.70416666666667,-89.99511111111111
12696,KNKN311,90.0,43.04747222222222,-91.11705555555555
12696,KNKN311,73.2,43.04555555555555,-90.7026388888889
12696,KNKN311,30.5,43.54108333333333,-90.10902777777777
12696,KNKN311,82.3,42.85638888888889,-89.54444444444444
12696,KNKN311,105.2,43.24277777777778,-90.06472222222222
12696,KNKN311,56.7,43.54080555555555,-89.64244444444445
12696,KNKN311,97.5,42.58027777777778,-90.42805555555556
12696,KNKN311,91.4,42.62313888888889,-90.6048611111111
12696,KNKN311,59.4,43.50736111111111,-90.01741666666666
12696,KNKN311,91.4,43.61541666666667,-89.78361111111111
12696,KNKN311,41.2,43.57805555555556,-89.79527777777777
12696,KNKN311,82.3,43.01038888888889,-89.90786111111112
12696,KNKN311,79.2,42.597277777777784,-89.65244444444446
12696,KNKN311,83.8,42.80622222222222,-89.86697222222222
12696,KNKN311,57.9,42.81491666666666,-89.65452777777779
12696,KNKN311,83.8,43.662388888888884,-90.34508333333333
12696,KNKN311,99.0,42.56930555555556,-90.24458333333334
12697,KNKN274,127.7,43.802499999999995,-88.33833333333332
12697,KNKN274,97.5,43.48833333333334,-89.47666666666667
12697,KNKN274,114.3,43.386944444444445,-88.87222222222222
12697,KNKN274,97.5,43.850833333333334,-88.7775
12697,KNKN274,67.1,42.83833333333334,-88.7088888888889
12697,KNKN274,97.5,43.61638888888889,-88.73305555555555
12697,KNKN274,45.1,43.85583333333334,-88.57277777777777
12697,KNKN274,48.8,42.581944444444446,-88.56194444444444
12697,KNKN274,82.3,43.62858333333333,-88.24202777777778
12697,KNKN274,60.7,43.43691666666666,-88.52647222222222
12697,KNKN274,97.5,43.30027777777777,-89.0625
12697,KNKN274,51.8,42.98638888888889,-88.96869444444445
12697,KNKN274,59.4,42.92611111111111,-88.63472222222222
12697,KNKN274,59.4,42.75652777777778,-88.4333888888889
12697,KNKN274,51.8,42.6315,-88.63094444444444
12697,KNKN274,59.4,42.596944444444446,-88.35841666666666
12697,KNKN274,60.9,43.74861111111111,-88.45416666666667
12697,KNKN274,60.7,43.79472222222222,-88.47500000000001
12697,KNKN274,99.0,43.653888888888886,-88.44027777777778
12697,KNKN274,40.5,43.75527777777778,-88.66805555555555
12697,KNKN274,41.1,43.47666666666667,-88.825
12697,KNKN274,60.7,43.08444444444444,-88.64519444444446
12697,KNKN274,59.4,43.11138888888889,-88.94555555555556
12697,KNKN274,60.7,43.54852777777778,-89.45830555555555
12697,KNKN274,111.3,43.556999999999995,-89.01677777777778
12697,KNKN274,60.6,43.62427777777778,-89.46597222222222
12697,KNKN274,79.3,43.91,-88.3196111111111
12697,KNKN274,53.3,43.08722222222222,-88.85041666666666
12697,KNKN274,82.3,43.54097222222222,-88.40627777777779
12697,KNKN274,40.0,43.339000000000006,-89.45400000000001
12697,KNKN274,30.5,43.77908333333333,-88.44647222222223
12697,KNKN274,60.9,43.43277777777777,-89.47883333333334
12697,KNKN274,83.8,43.377805555555554,-89.44383333333333
12697,KNKN274,32.0,43.31527777777777,-89.53805555555556
12697,KNKN274,54.9,42.5435,-88.33880555555555
12697,KNKN274,54.8,42.72488888888889,-88.54069444444444
12697,KNKN274,60.9,42.61280555555556,-88.70855555555556
12697,KNKN274,48.7,43.782111111111114,-88.41277777777778
12697,KNKN274,99.0,43.77619444444444,-88.18569444444445
12697,KNKN274,38.4,43.34205555555556,-88.6031111111111
12697,KNKN274,78.3,43.54972222222222,-88.77977777777778
12697,KNKN274,45.7,42.94125,-88.83388888888888
12697,KNKN274,45.7,43.06794444444445,-88.542
12697,KNKN274,42.6,42.8385,-88.74086111111112
12697,KNKN274,60.9,42.79858333333333,-88.57991666666666
12697,KNKN274,64.0,43.16647222222222,-89.00783333333334
12697,KNKN274,60.6,43.84836111111111,-88.83883333333333
12697,KNKN274,82.2,43.35366666666667,-88.9996388888889
12697,KNKN274,86.3,43.56916666666667,-89.29972222222221
12697,KNKN274,59.4,43.51519444444445,-88.54277777777777
12698,KNKN275,96.0,43.98861111111111,-87.78527777777778
12698,KNKN275,54.9,45.080000000000005,-87.12788888888888
12698,KNKN275,134.1,44.68694444444444,-87.71166666666667
12698,KNKN275,54.9,45.07944444444445,-87.12777777777777
12698,KNKN275,54.9,44.263888888888886,-87.77111111111111
12698,KNKN275,49.7,44.814388888888885,-87.38158333333332
12698,KNKN275,78.6,44.772777777777776,-87.47833333333334
12698,KNKN275,60.6,44.986361111111115,-87.20619444444445
12698,KNKN275,77.7,44.306666666666665,-87.56916666666666
12698,KNKN275,44.1,44.07469444444445,-87.68611111111112
12699,KNKA517,92.0,37.98886111111111,-87.84875
12699,KNKA517,97.2,38.14055555555556,-87.0405
12699,KNKA517,92.7,38.16647222222222,-87.87822222222222
12699,KNKA517,95.7,38.390055555555556,-87.57319444444444
12699,KNKA517,94.2,38.19558333333333,-87.1593888888889
12699,KNKA517,96.6,38.340138888888895,-87.37016666666666
12699,KNKA517,77.4,37.772888888888886,-87.73480555555555
12699,KNKA517,92.7,37.76733333333333,-87.54980555555555
12699,KNKA517,125.0,37.77013888888889,-87.36363888888889
12699,KNKA517,106.4,38.10888888888889,-87.91163888888889
12699,KNKA517,93.9,38.27386111111111,-87.70963888888889
12699,KNKA517,103.6,37.65172222222222,-87.92161111111112
12699,KNKA517,94.5,38.20166666666667,-87.2611111111111
12699,KNKA517,60.4,38.00544444444444,-87.20866666666667
12700,KNKA672,86.9,37.650888888888886,-87.12072222222221
12700,KNKA672,83.5,37.66694444444444,-87.2088888888889
